0,0
5.000000,0.000000
0,0
0,0
4.914865,0.918748
0,0
0,0
4.662361,1.806208
0,0
0,0
4.251086,2.632161
0,0
0,0
3.695045,3.368478
0,0
0,0
3.013173,3.990086
0,0
0,0
2.228692,4.475816
0,0
0,0
1.368315,4.809128
0,0
0,0
0.461342,4.978671
0,0
0,0
-0.461342,4.978671
0,0
0,0
-1.368315,4.809128
0,0
0,0
-2.228692,4.475816
0,0
0,0
-3.013173,3.990086
0,0
0,0
-3.695045,3.368478
0,0
0,0
-4.251086,2.632161
0,0
0,0
-4.662361,1.806208
0,0
0,0
-4.914865,0.918748
0,0
0,0
-5.000000,0.000000
0,0
0,0
-4.914865,-0.918748
0,0
0,0
-4.662361,-1.806208
0,0
0,0
-4.251086,-2.632161
0,0
0,0
-3.695045,-3.368478
0,0
0,0
-3.013173,-3.990086
0,0
0,0
-2.228692,-4.475816
0,0
0,0
-1.368315,-4.809128
0,0
0,0
-0.461342,-4.978671
0,0
0,0
0.461342,-4.978671
0,0
0,0
1.368315,-4.809128
0,0
0,0
2.228692,-4.475816
0,0
0,0
3.013173,-3.990086
0,0
0,0
3.695045,-3.368478
0,0
0,0
4.251086,-2.632161
0,0
0,0
4.662361,-1.806208
0,0
0,0
4.914865,-0.918748
0,0
