12,5.000000,0.000000
13,4.914865,0.918748
14,4.662361,1.806208
15,4.251086,2.632161
16,3.695045,3.368478
17,3.013173,3.990086
18,2.228692,4.475816
19,1.368315,4.809128
20,0.461342,4.978671
24,-0.461342,4.978671
25,-1.368315,4.809128
26,-2.228692,4.475816
27,-3.013173,3.990086
28,-3.695045,3.368478
29,-4.251086,2.632161
30,-4.662361,1.806208
31,-4.914865,0.918748
32,-5.000000,0.000000
33,-4.914865,-0.918748
34,-4.662361,-1.806208
35,-4.251086,-2.632161
36,-3.695045,-3.368478
37,-3.013173,-3.990086
38,-2.228692,-4.475816
39,-1.368315,-4.809128
40,-0.461342,-4.978671
41,0.461342,-4.978671
42,1.368315,-4.809128
43,2.228692,-4.475816
44,3.013173,-3.990086
45,3.695045,-3.368478
46,4.251086,-2.632161
47,4.662361,-1.806208
48,4.914865,-0.918748
12,5.000000,0.000000
